,title,director,writers,top_5_billed,rotten_tomato_rating,audience_rating
107,Independence Day: Resurgence,['Roland Emmerich'],"['Dean Devlin', ' Jamie Vanderbilt', ' Roland Emmerich', ' Nicolas Wright', ' James A. Woods', ' James Vanderbilt']","['Liam Hemsworth ', 'Jeff Goldblum ', 'Bill Pullman ', 'Maika Monroe ', 'William Fichtner ']",30,30
108,Cowboys and Aliens,['Jon Favreau'],"['Mark Fergus', ' Damon Lindelof', ' Hawk Ostby', ' Roberto Orci', ' Alex Kurtzman']","['Daniel Craig ', 'Olivia Wilde ', 'Harrison Ford ', 'Paul Dano ', 'Adam Beach ']",44,43
109,Spider-Man: Far From Home,['Jon Watts'],"['Chris McKenna (II)', ' Erik Sommers']","['Tom Holland (II) ', 'Samuel L. Jackson ', 'Zendaya ', 'Cobie Smulders ', 'JB Smoove ']",91,95
110,Aquaman,['James Wan'],"['Will Beall', ' David Leslie Johnson-McGoldrick']","['Jason Momoa ', 'Amber Heard ', 'Nicole Kidman ', 'Willem Dafoe ', 'Patrick Wilson ']",66,74
111,Shrek the Third,"['Chris Miller', ' Raman Hui']","['Jeffrey Price', ' Chris Miller', ' Aron Warner', ' Peter S. Seaman']","['Julie Andrews ', 'John Cleese ', 'Rupert Everett ', 'Eric Idle ', 'Susanne Blakeslee ']",41,52
112,Inception,['Christopher Nolan'],['Christopher Nolan'],"['Leonardo DiCaprio ', '', '', '', '']",87,91
113,Fast and Furious 6,['Justin Lin'],['Chris Morgan'],"['Vin Diesel ', 'Paul Walker ', 'Dwayne Johnson ', 'Jordana Brewster ', 'Michelle Rodriguez ']",70,84
114,Godzilla,['Roland Emmerich'],"['Dean Devlin', ' Roland Emmerich']","['Jean Reno ', 'Matthew Broderick ', 'Maria Pitillo ', 'Hank Azaria ', 'Arabella Field ']",16,28
115,X-Men: First Class,['Matthew Vaughn'],"['Jane Goldman', ' Ashley Edward Miller', ' Matthew Vaughn', ' Zack Stentz']","['James McAvoy ', 'Michael Fassbender ', 'Kevin Bacon ', 'Caleb Landry Jones ', 'Nicholas Hoult ']",86,87
116,Poseidon,['Wolfgang Petersen'],"['Paul Gallico', ' Mark Protosevich']","['Kurt Russell ', 'Josh Lucas ', 'Richard Dreyfuss ', 'Andre Braugher ', 'Mia Maestro ']",33,43
